long_description,severity_code
for example nsstring str nsstring s nsstring s qb str replacesubstring s s this will go on until it runs out of memory ,2
otherwise they all have to reimplement the whole process of running through all the nodes in the page for themselves i ve been meaning to post this patch for quite a while ,1
i ve patched the mozilla europe site and cms so they ll run on our systems right now they re setup on dm cms and they re ready to be pushed to a production area i ve written instructions for doing this here http people mozilla org clouserw docs moz eu setup moz eu html they re kind of complicated frustrating so i d be happy to help if i can thanks ,2
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox if a number of stylesheets are specified as linked files in the header of an html file and one does not have a media attribute specified then the browser will crash when attempting to print the page eg will crash but this will not crash i had a look through the html spec and it does not seem that the media attribute is mandatory therefore the browser should be able to cope with this situation reproducible always steps to reproduce see details above actual results browser crashed with and application error expected results printed the page with the print stylesheet ,3
there s an extra free in an error case ,3
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox while building the trunk on aix getting below linker error for mozilla obj opt xpcom tools registry ld error undefined symbol pr dtoa ld error undefined symbol pr snprintf ld error undefined symbol pr assert ld error undefined symbol pr free reproducible always steps to reproduce build mozilla firefox trunk build on aix with gnome rpms of bit version actual results build fails with the above error expected results no build failure,2
user agent mozilla windows u windows nt en us rv a gecko minefield a build identifier mozilla windows u windows nt en us rv a gecko minefield a if an opensearch as an opensearch description document plugin includes an url tag which isn t type text html then it won t install in the search bar this happens even when there is an url tag with type text html reproducible always steps to reproduce goto http www edazzle net os click on the drop down list of search plugins click on one of tthe add amazon entries actual results download error expected results the search plugin to be added to the search bar drop down list of installed plugins installs plugins fine when url tag attribute type is set to text html and is the only url tag in the file ,2
please publish these changes envoi it products thunderbird releasenotes index html envoi pt pt products thunderbird releasenotes index html envoi ru products thunderbird releasenotes index html transmission des donn es r vision propag e thanks,2
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox on the search messages dialog there are no criteria rows displayed and there is no way to get them to display therefore i can t do any searchess i ve tried unilstalling thunderbird and re installing it but it doesn t fix the problem my guess is that somehow my user specific configuration files have become corrupted when i originally installed the software the search messages worked so i must have done something that broke it but i don t know what reproducible always steps to reproduce i don t know if you e mail me i supposed i could send you any configuration files you think might be significant ,1
mozilla windows u windows nt en us rv pre gecko calendar pre steps to reproduce enable the unifinder using the find event toolbar button grab the lower border and drag it upwards until the unifinder collapses disable and enable the unifinder using the find event toolbar button actual results only the small border that indicates the collapsed unifinder is hidden show when using the toolbar button the unifinder itself stays collapsed and is therefore not visible expected results to avoid user confusion i suggest that the find event toolbar button should also restore the unifinder from collapsed to normal state ,1
please add the following cron jobs to dm stats for amo root cd data php www addons mozilla org remora bin php f maintenance php addons collections total root cd data php www addons mozilla org remora bin php f maintenance php collections total,0
 the following code creates an event where the target ends up being the when we really want it to be the individual element that makes up that particular color cell cdata if this iscolorcell acell this resethover acell setattribute hover true this mhovercell acell var event document createevent events event initevent dommenuitemactive false true acell dispatchevent event the screwed up sequence nseventstatemanager dispatchnewevent calls target handledomevent mprescontext innerevent aevent ns event flag init nsxulelement handledomevent subsequently runs the following lines which clear the old event and it s target nsidomevent domevent nsnull if ns event flag init aflags adomevent eventually as the event bubbles up it is retargeted but never to the correct original target if we call handledomevent without the ns event flag init everything works but i m not sure what side effects that has with freeing memory why is the target set and then subsequently cleared and not reset ,4
create mozilla org download in xpcshell discover interfaces using instanceof or queryinterface then interogate properties many properties will crash since minner is null,3
my entry on planet firefox with profile guided optimization speeding ticket dated april is clearly wrong i ve corrected my feed but the entry is still shown at planet,3
from bugzilla helper user agent mozilla macintosh u ppc mac os x en us rv b gecko buildid i just started noticing that mozilla s startup time has doubled since previous night builds in july or before might have to due to the fact that page layout loading time also increased greatly along with other things in fizzilla reproducible always steps to reproduce start mozilla in osx time it compare to earlier build in early july or before actual results startup time has doubled expected results startup time to be less or at least returned to previous speed as in earlier july builds or before that related bug bug ,2
mozilla windows u windows nt en us rv b gecko firefox id open tab title of tab shows untitled or loading regression from bug ,4
it seems some files were not tagged with firefox release for example see http bonsai mozilla org cvsgraph cgi file mozilla profile makefile in version all other firefox x and mozilla x releases are listed there but ff is not this should be fixed so people can build ff from cvs ,3
 mozilla windows u windows nt en us rv a pre gecko seamonkey a pre home optim default w ksp xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value xpcom tests testencoding cpp warning c initializing truncation of constant value clean up the output ,1
user agent mozilla windows u windows nt it rv gecko firefox build identifier mozilla windows u windows nt it rv gecko firefox if you report google com as pishing and then open a window with a frame containing google com the form page not show the pishing alert reproducible always steps to reproduce create a new page containing a pishing side in a form showld be confidential because the hackers can make pages that contains frames unsigned as pishing,2
winnt mozilla central qm win k dep unit test went red a couple of cycles ago the log makes it seem like a machine issue perhaps related winnt mozilla central build is off and on red as of a few cycles ago i can file a separate bug for that if needed ,4
user agent mozilla windows u windows nt en us rv b gecko mozilla firebird build identifier mozilla thunderbird a trunk among my news tidbits is the ina service of iht com the headlines are all anchors pointing to a location thus mailbox g home superbiskit mozilla superbiskit slt mail cox net inbox number a clicking on one should move the view to the cited fragment it does not reproducible always steps to reproduce find or create an html mail document using internal fragment identifiers fragment mail it to yourself click on the referencing anchor actual results nothing expected results jumped moved focus to the anchor ,2
tracking to move personas out of labs and into production need to figure out app requirements and hardware requirements and see if it can live on existing hardware oremj it lead,1
user agent mozilla macintosh u ppc mac os x en us rv gecko chimera build identifier mozilla macintosh u ppc mac os x en us rv gecko chimera when a the url bar is empty and text is pasted into it it is displayed in the wrong typeface helvetica the font is then set to whichever lucida variant is appropriate when return is pressed or something else resets the url bar this only happens when pasting into an empty location bar reproducible always steps to reproduce copy some text to the clipboard click in url bar press command a select all press delete press command v paste look at text press return actual results the freshly pasted text is displayed in the wrong typeface helvetica and then switched to the proper typeface when return was pressed expected results the format of the location bar text should not change it should always be displayed using the proper typeface ,0
user agent mozilla x u linux i en us rv gecko firefox build identifier information about how data is handled on the mozilla servers are not answered for and should be accounted fast people could start thinking the data they upload in the cloud is licensed with gpl or mpl for mozilla licenses copied from chrome weave content tos xhtml privacy and your personal information for information about mozilla s data protection practices please read mozilla weave privacy policy at http labs mozilla com projects weave privacy html this policy explains in detail how mozilla treats your personal information and protects your privacy when you use the weave services reproducible always steps to reproduce open the link see the data privacy is missing ,2
crash nsframe destroy when zooming text steps to reproduce load url or any of the other urls listed in the crash reports below press ctrl and use the mouse wheel to zoom the text up down every now and then type ctrl r to cause a reload sec interval perhaps continue zooming while the page loads actual result i was able to reproduce it in firefox trunk on linux twice within minutes of trying crash reports with settextzoom on the stack in the past months http crash stats mozilla com do query query search stack query type contains query settextzoom date range value range unit months a typical stack looks like nsframe destroy nscontainerframe destroy nsframelist destroyframes nscontainerframe destroy nsblockframe doremoveframe nsiframe int int nsblockframe removeframe nsiatom nsiframe nsframemanager removeframe nsiframe nsiatom nsiframe nscssframeconstructor contentremoved nsicontent nsicontent int int nscssframeconstructor recreateframesforcontent nsicontent nscssframeconstructor processrestyledframes nsstylechangelist nsprescontext clearstyledataandreflow documentviewerimpl settextzoom float ,3
the following patch supports characters outside of the bmp ,3
user agent mozilla macintosh u ppc mac os x mach o en us rv b gecko build identifier mozilla macintosh u ppc mac os x mach o en us rv b gecko the february th build does not launch the icon bounces up and down for a few seconds and then the application quits reproducible always steps to reproduce launch mozilla application actual results the mozilla icon bounces up and down in the dock for a few minutes and then quits expected results mozilla should have opened with a splash screen and then opened a new window i am running mac os this is a regression since the build on the th or th ,4
 ,4
ctrl w the close window shortcut key doesn t close the firefox help window this is contrary to the behaviour with the mozilla suite s help window as of the build at least where ctrl w closes it ,1
some of the functions in fipstest c are named the opposite of what they do e g functions named hex from actually convert values from hex ascii to binary and functions named from hex convert from binary to hex ascii i propose to rename these functions as follows hex from char const char c unsigned char byteval hex to byteval const char c unsigned char byteval char from hex unsigned char byteval char c char a byteval to hex unsigned char byteval char c char a ,1
created attachment testcase loading the testcase makes nscontextboxblur boxblurvertical dereference a random address which usually causes a crash ,3
created attachment patch status and resolution values in dependency trees are not localizable the attached patch fixes this ,1
i create an instance of ldapurl using the constructor ldapurl string url my ldap url ldap sn sub cn a has attributes but no dn during the parsing of the url string the attributes are ignored in version of ldapurl java in line readnextconstruct urlparser is called in readnextconstruct are two calls of stringtokenizer nexttoken this is correct if you have a dn in this case the first call returns the and the next returns the attributes but if you have no dn dn equals in line the first call returns the attributes and the second retuns the after the attributes ,3
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox i discovered this fiddling around with some of the form filling extensions the form field length is reported as unknown by the extension i typed in some nonsence then copy pasted for about a minute no end of field i m guessing it s in the database but the webpage itself needs a sanity check personally i can t see more than ever being necessary perhaps anyway currently a user could hose the page loading by submitting an insanely long comment note i didn t actually submit a comment like that so if there is a sanity check post form submit i apologize for the bug report in the first place reproducible always steps to reproduce click any extension add your own comment link fill in the form with trash over and over click post if you want to really annoy the moderators actual results not tested but hung page load or rediculously long page expected results decently long extension page most likely just needs a form field length on the actual page coding i m marking this security as i ve seen other bugs marked severe for such form length issues ,3
 ,1
when you take a bug while adding a new attachment attachment cgi runs my newvalues user id assigned user login dbh do update bugs set delta ts join map fields where bug id undef timestamp map newvalues bugid this means the bug status is set to assigned but if you renamed or deleted this bug status from editvalues cgi assigned isn t valid and process bug cgi will reject all subsequent changes made against the bug as no bug status transition between the unknown assigned status and any other status is defined in the workflow the reason to mark this bug as a blocker is that the first bug status you would rename is assigned to inprogress accepted or anything else based on previous bug reports on b m o so the probability to see such problems is very high ,3
this was some ancient code landed by mconnor in a rush and it needs tidying up see https bugzilla mozilla org show bug cgi id c for starters ,0
 object wrapped by xpconnect has members whose names shadow each other xpcnativeset x x b for the class classname chromewindow contractid claims to implement interfaces nsisupports nsidomwindow nsidomjswindow nsidomwindowinternal nsidomchromewindow nsidomeventtarget nsidomviewcss nsidomabstractview nsidomwindow document shadows nsidomviewcss document nsidomwindow document shadows nsidomabstractview document nsidomjswindow prompt shadows nsidomwindowinternal prompt nsidomwindowinternal document shadows nsidomviewcss document nsidomwindowinternal document shadows nsidomabstractview document xpc begin deferred release of nsisupports pointers xpc end deferred releases this debug output was generated by setting debug xpc hacker in mozilla js src xpconnect src xpcprivate h steps add flag to xpconnect rebuild xpconnect run mozilla navigator,0
the x linux tinderboxes are missing the wireless tools devel package which means they can t build the necko wifi code used for geolocation prior to bug this caused the feature to be silently disabled thus silently disabling one of our major new platform features with bug this as desired results in an error so that we don t accidentally disable major platform features what needs to be fixed is thanks to bug bug equivalent to version in https wiki mozilla org referenceplatforms linux centos version i suppose i ll have to temporarily back out bug until this is fixed ,2
nsxblservice loadbindings resolved fixed hyatt mozilla org m verified fixed bugs bengoodger com mozilla bbid range min max seconds since last crash min max runtime crash data range to build id range to stack trace nsxblservice loadbindings c builds seamonkey mozilla content xbl src nsxblservice cpp line nscssframeconstructor constructframeinternal c builds seamonkey mozilla layout html style src nscssframeconstructor cpp line nscssframeconstructor constructframe c builds seamonkey mozilla layout html style src nscssframeconstructor cpp line nscssframeconstructor contentinserted c builds seamonkey mozilla layout html style src nscssframeconstructor cpp line nscssframeconstructor recreateframesforcontent c builds seamonkey mozilla layout html style src nscssframeconstructor cpp line nscssframeconstructor attributechanged c builds seamonkey mozilla layout html style src nscssframeconstructor cpp line stylesetimpl attributechanged c builds seamonkey mozilla content base src nsstyleset cpp line presshell attributechanged c builds seamonkey mozilla layout html base src nspresshell cpp line nsxuldocument attributechanged c builds seamonkey mozilla content xul document src nsxuldocument cpp line nsxulelement setattr c builds seamonkey mozilla content xul content src nsxulelement cpp line nsxulelement setattr c builds seamonkey mozilla content xul content src nsxulelement cpp line nsxblprototypebinding attributechanged c builds seamonkey mozilla content xbl src nsxblprototypebinding cpp line nsxblbinding attributechanged c builds seamonkey mozilla content xbl src nsxblbinding cpp line nsxulelement setattr c builds seamonkey mozilla content xul content src nsxulelement cpp line nsxulelement setattribute c builds seamonkey mozilla content xul content src nsxulelement cpp line xptc invokebyindex c builds seamonkey mozilla xpcom reflect xptcall src md win xptcinvoke cpp line xpcwrappednative callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednative cpp line xpc wn callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednativejsops cpp line js invoke c builds seamonkey mozilla js src jsinterp c line js interpret c builds seamonkey mozilla js src jsinterp c line js invoke c builds seamonkey mozilla js src jsinterp c line js internalinvoke c builds seamonkey mozilla js src jsinterp c line js internalgetorset c builds seamonkey mozilla js src jsinterp c line js setproperty c builds seamonkey mozilla js src jsobj c line js interpret c builds seamonkey mozilla js src jsinterp c line js invoke c builds seamonkey mozilla js src jsinterp c line js internalinvoke c builds seamonkey mozilla js src jsinterp c line js callfunctionvalue c builds seamonkey mozilla js src jsapi c line nsjscontext calleventhandler c builds seamonkey mozilla dom src base nsjsenvironment cpp line nsjseventlistener handleevent c builds seamonkey mozilla dom src events nsjseventlistener cpp line nsxblprototypehandler executehandler c builds seamonkey mozilla content xbl src nsxblprototypehandler cpp line nsxbleventhandler handleevent c builds seamonkey mozilla content xbl src nsxbleventhandler cpp line nseventlistenermanager handleeventsubtype c builds seamonkey mozilla content events src nseventlistenermanager cpp line nseventlistenermanager handleevent c builds seamonkey mozilla content events src nseventlistenermanager cpp line nsxulelement handledomevent c builds seamonkey mozilla content xul content src nsxulelement cpp line presshell handledomeventwithtarget c builds seamonkey mozilla layout html base src nspresshell cpp line nspopupsetframe oncreate c builds seamonkey mozilla layout xul base src nspopupsetframe cpp line nspopupsetframe showpopup c builds seamonkey mozilla layout xul base src nspopupsetframe cpp line nspopupboxobject showpopup c builds seamonkey mozilla layout xul base src nspopupboxobject cpp line xptc invokebyindex c builds seamonkey mozilla xpcom reflect xptcall src md win xptcinvoke cpp line xpcwrappednative callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednative cpp line xpc wn callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednativejsops cpp line js invoke c builds seamonkey mozilla js src jsinterp c line js interpret c builds seamonkey mozilla js src jsinterp c line js invoke c builds seamonkey mozilla js src jsinterp c line nsxpcwrappedjsclass callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappedjsclass cpp line nsxpcwrappedjs callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappedjs cpp line prepareanddispatch c builds seamonkey mozilla xpcom reflect xptcall src md win xptcstubs cpp line sharedstub c builds seamonkey mozilla xpcom reflect xptcall src md win xptcstubs cpp line nsglobalhistory onstartlookup c builds seamonkey mozilla xpfe components history src nsglobalhistory cpp line xptc invokebyindex c builds seamonkey mozilla xpcom reflect xptcall src md win xptcinvoke cpp line xpcwrappednative callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednative cpp line xpc wn callmethod c builds seamonkey mozilla js src xpconnect src xpcwrappednativejsops cpp line js invoke c builds seamonkey mozilla js src jsinterp c line js interpret c builds seamonkey mozilla js src jsinterp c line js invoke c builds seamonkey mozilla js src jsinterp c line js internalinvoke c builds seamonkey mozilla js src jsinterp c line js callfunctionvalue c builds seamonkey mozilla js src jsapi c line nsjscontext calleventhandler c builds seamonkey mozilla dom src base nsjsenvironment cpp line globalwindowimpl runtimeout c builds seamonkey mozilla dom src base nsglobalwindow cpp line globalwindowimpl timercallback c builds seamonkey mozilla dom src base nsglobalwindow cpp line nstimerimpl fire c builds seamonkey mozilla xpcom threads nstimerimpl cpp line nsappshell run c builds seamonkey mozilla widget src windows nsappshell cpp line nsappshellservice run c builds seamonkey mozilla xpfe appshell src nsappshellservice cpp line source file c builds seamonkey mozilla content xbl src nsxblservice cpp line url my yahoo com comments typing in another address ns newuri getter addrefs uri spec get prbool equal if ns succeeded uri equals aurl equal equal hyatt return ns ok i believe ns newuri failed,3
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u winnt en us rv gecko firefox firefox and previous versions of x installed and run fine under windows nt without any complaints after updating to the rc build from http ftp mozilla org pub mozilla org firefox nightly candidates rc firefox no longer starts the error message is the procedure entry point getlongpathnamea could not be located in the dynamic link library kernel dll tested on two computers with nt workstation service pack a reproducible always steps to reproduce install or update to firefox rc from http ftp mozilla org pub mozilla org firefox nightly candidates rc try to run actual results won t start any more expected results should start and run like the previous x versions ,3
this is pretty simple usually ,4
user agent mozilla macintosh u intel mac os x en us applewebkit khtml like gecko version safari build identifier mozilla macintosh u intel mac os x en us rv a pre gecko minefield a pre in content canvas src nsglpbuffercgl cpp gfxasurface nsglpbuffercgl thebessurface if mthebessurface mthebessurface new gfximagesurface gfxintsize mwidth mheight gfxasurface imageformatargb if mthebessurface cairostatus fprintf stderr image surface failed n return nsnull mquartzsurface new gfxquartzimagesurface mthebessurface mimageneedsupdate pr true if mimageneedsupdate makecontextcurrent mglwrap freadpixels mwidth mheight local gl bgra local gl unsigned int rev mthebessurface data if this line mthebessurface new gfximagesurface gfxintsize mwidth mheight gfxasurface imageformatargb fails due to gfxasurface checksurfacesize the function will return with mthebessurface set to some pointer value but the object not fully initialized the next time the function runs the line mglwrap freadpixels mwidth mheight local gl bgra local gl unsigned int rev mthebessurface data results in a copy to an uninitialized pointer leading to memory corruption and potential code execution reproducible always steps to reproduce use recent firefox this doesn t affect set the mallocscribble environment variable to on mac os x and open minefield something like killall firefox bin env mallocscribble open a minefield set webgl enabled for all sites true in about config open attached html file actual results it crashes writing to xaaaaaaaa indicating it is writing to an uninitialized pointer if it s running bit minefielddebug the crashlog will look like exception type exc bad access sigsegv exception codes x d x with the xd exception code indicating that it was accessing an address which is invalid in the bit abi xaaaaaaaaaaaaaaaa expected results no crash ,3
user agent mozilla macintosh u ppc mac os x mach o en us rv gecko firefox rc build identifier mozilla macintosh u ppc mac os x mach o en us rv gecko firefox rc this used to work for firefox but does not work for firefox rc the cause is from the following checkin mozilla xpcom threads nsprocesscommon cpp jst mozilla jstenback com fixing bug making nsprocesscommon run work on mac os x http lxr mozilla org aviarybranch source xpcom threads nsprocesscommon cpp if defined xp macosx you can t pass arguments to mac apps tell the caller that it just aint going to work if count return ns error invalid arg else this is a regression but a minor loss of a function that is not used i suppose in the official releases setting severity to minor reproducible always steps to reproduce install venkman and nvu app do not start nvu app yet from the venkman interactive session run var appf components classes mozilla org file local createinstance components interfaces nsilocalfile appf initwithpath applications nvu app contents macos nvu bin var proce components classes mozilla org process util createinstance components interfaces nsiprocess proce init appf proce run false you see that nvu app starts up quit nvu app again from the venkman interactive session run proce run false edit file users myusername an existing file html actual results in firefox rc you get exception component returned failure code x ns error illegal value nsiprocess run nsresult x ns error illegal value location js frame chrome venkman content venkman eval js con eval line data no expected results nvu app should be started up with the an existing file html page as it used to do for firefox ,1
 thunderbird exe counttotalmimeattachments mailnews mime src mimemoz cpp thunderbird exe counttotalmimeattachments mailnews mime src mimemoz cpp thunderbird exe counttotalmimeattachments mailnews mime src mimemoz cpp thunderbird exe mimegetattachmentlist mailnews mime src mimemoz cpp thunderbird exe mime display stream complete mailnews mime src mimemoz cpp thunderbird exe nsstreamconverter onstoprequest mailnews mime src nsstreamconverter cpp thunderbird exe nsmsgprotocol onstoprequest mailnews base util nsmsgprotocol cpp thunderbird exe nsmailboxprotocol onstoprequest mailnews local src nsmailboxprotocol cpp thunderbird exe nsinputstreampump onstatestop netwerk base src nsinputstreampump cpp thunderbird exe nsinputstreampump oninputstreamready netwerk base src nsinputstreampump cpp xpcom core dll nsinputstreamreadyevent run xpcom io nsstreamutils cpp xpcom core dll nsthread processnextevent xpcom threads nsthread cpp xpcom core dll ns processnextevent p objdir tb mozilla xpcom build nsthreadutils cpp xpcom core dll nsthread shutdown xpcom threads nsthread cpp thunderbird exe mozstorageconnection close storage src mozstorageconnection cpp xpcom core dll ns invokebyindex p xpcom reflect xptcall src md win xptcinvoke cpp thunderbird exe xpcwrappednative callmethod js src xpconnect src xpcwrappednative cpp thunderbird exe xpc wn callmethod js src xpconnect src xpcwrappednativejsops cpp ,3
 updated description to and poor markups,0
can i get svn commit access to svn mozilla org projects mozilla com tags attempting to get changes for bug out ,2
user agent mozilla windows u windows nt fi rv gecko firefox build identifier problem is in every build since which works fine tried it with the final and now with the latest pre thunderbird is and with the pre i m using b ok i m in no means a developper and prob can t tell you all the right things but this bug is preventing us from moving from lightning to so i need to file this bug we are using atm version of the thunderbird plugin in our company it works fine with our sun calendar server patch rel when upgrading to and with the latest pre we encountere a following problem when creating a new event and inviting people to attend to it no invitations are sent when checking the event from the calendar server it doesn t show it as being done by you but as you would have invited yourself to the meeting when opening the event again in lightning and closing it you are promted for saving changes even if no chages are done reproducible always steps to reproduce start creating a new event select people to invite save the event actual results you appear to invite yourself instead of making your own event and inviting others expected results you create a new event for yourself and invite others i did trace the difference in the query sent by thunderbird to the sun calendar server and one major thing is different when it is working in we are sending this value orgcalid userid domain fi and when it is not working in and pre we are sending only this value orgemail mailto userid domain fi otherwise the sent packages look quite the same there is some timezone info that is different but i assume that it has nothing to do with this so to me it looks like lightning is a bit unsure who i am and acts like i m only some random inviter instead of beeing me making events where no one is invited work just fine in pre so it only goes wrong when you invite people the only file i can find using that orcalid is this calwcapcalendaritems js there are differences with the code between and pre quite obvius i m hoping that some one can figure out what s going wrong,2
bugzilla timezone should be listed in login exempt of bugzilla webservice constants pm ,0
user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox if i use typeahead find to search a page by hitting the new find toolbar drops down and functions as expected however if i try to use find next or find previous either the toolbar buttons or the keyboard shortcuts the toolbar disappears the next match is still highlighted but the toolbar goes away pressing f or ctrl g a second time causes it to reappear and the toolbar continues to work until it is dismissed and a new search is begun reproducible always steps to reproduce use typeahead find to search a page click find next find previous or hit one of their keyboard shortcuts actual results toolbar disappears expected results toolbar should remain visible ,1
couldn t find a component for filter junk mail so marking selecting general a few users have been crashing with recent thunderbirdtrunk builds marking messages as junk mail here is the latest from talkback count offset real signature nsscanner readuntil c cfa nsscanner readuntil crash date range feb to feb min max seconds since last crash min max runtime count platform list windows xp windows nt build windows k windows nt build count build id list no of unique users stack trace frame nsscanner readuntil e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nsscanner cpp line ctexttoken consume e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokens cpp line nshtmltokenizer consumetext e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nshtmltokenizer consumetag e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nshtmltokenizer consumetoken e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nsparser tokenize e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nsparser cpp line comments looked at an e mail labeled as junk but still in inbasket that happens of time some go to trash some don t clicked it to make it not junk tb puked btw message filters do nothing automatically but when run by hand they sometimes work comments gettings to match rule to actual is a b h comments marking message as junk comments marking messages as junk again comments marking messages as junk comments marking messages as junk count offset real signature nsscanner readuntil da ef nsscanner readuntil crash date range feb to feb min max seconds since last crash min max runtime count platform list windows xp windows nt build count build id list no of unique users stack trace frame nsscanner readuntil e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nsscanner cpp line ctexttoken consume e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokens cpp line nshtmltokenizer consumetext e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nshtmltokenizer consumetag e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nshtmltokenizer consumetoken e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nshtmltokenizer cpp line nsparser tokenize e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nsparser cpp line nsparser tokenize e builds tinderbox thunderbird trunk winnt clobber mozilla parser htmlparser src nsparser cpp line and a link to all current nsscanner readuntil bugs http talkback public mozilla org talkback fastfind jsp search searchby stacksig match contains searchfor nsscanner a areaduntil vendor all product all platform all buildid sdate stime edate etime sortby bbid,3
i am going to mark bug as a wontfix which will obsolete js regress regress js also spidermonkey and rhino have diverged on handling default error exception linenumber filename properties js exceptions regress js tests the old behavior which still exists in rhino but js exceptions regress js tests the new behavior in spidermonkey this patch will eliminate js exceptions regress js from spidermonkey tests ,0
i m hitting this in a webrtc mochitest while bringing up webrtc on android it triggers a crash everytime i run dom media tests mochitest possibly only with webrtc enabled on android i haven t tried without if the stacktrace below isn t enough to figure out what s going on it s very easy for me to reproduce and not too hard help someone else reproduce program received signal sigsegv segmentation fault loading libraries and symbols switching to thread x be d c in js ion moveresolver addmove this x ecfe from to kind js ion moveresolver move general at users dmose r inbound src js src ion moveresolver cpp js assert from to gdb where x be d c in js ion moveresolver addmove this x ecfe from to kind js ion moveresolver move general at users dmose r inbound src js src ion moveresolver cpp x be c in js ion macroassemblerarmcompat passabiarg this x ecfd c from at users dmose r inbound src js src ion arm macroassembler arm cpp x be e in js ion macroassemblerarmcompat passabiarg this x ecfd c reg at users dmose r inbound src js src ion arm macroassembler arm cpp x be db e in generatebailoutthunk masm frameclass at users dmose r inbound src js src ion arm trampoline arm cpp x be ddb in js ion ionruntime generatebailouttable this x a f cx x dcfae frameclass at users dmose r inbound src js src ion arm trampoline arm cpp x bd ca in js ion ionruntime initialize this x a f cx x dcfae at users dmose r inbound src js src ion ion cpp x ba a a in jsruntime createionruntime this x cx x dcfae at users dmose r inbound src js src jscompartment cpp x ba fb in jsruntime getionruntime this x cx x dcfae at users dmose r inbound src js src jscntxt h x ba af in jscompartment ensureioncompartmentexists this x c cx x dcfae at users dmose r inbound src js src jscompartment cpp x bd in js ion ioncompile cx x dcfae script fun osrpc x constructing false compilecontext at users dmose r inbound src js src ion ion cpp x bd d e in js ion testioncompile cx x dcfae script fun osrpc x constructing false at users dmose r inbound src js src ion ion cpp x bed in js mjit stubs triggerioncompile f at users dmose r inbound src js src methodjit stubcalls cpp x bcf c in jaegerstubveneer from users dmose r inbound objdir droid dist bin libxul so x e b in x e b in backtrace stopped previous frame identical to this frame corrupt stack ,3
user agent build identifier mozilla macintosh u ppc mac os x en us rv gecko netscape mac os x the about window text resides in the path to camino app contents resources credits rtf file to allow l n the file should be put inside a english lproj folder reproducible always steps to reproduce ,0
using a mach o build opt from this morning the same one on ftp m o i get a crash on startup this looks like the same problem that the aol person was having setting to blocker as this is a blocker for me i can post crashreporter data but i doubt it will do any good since it is an opt build let me know if you want it ,4
see upcoming testcase which crashes current trunk build and firefox talkback id tb z x c nslinebox deletelinelist nsblockframe doremoveframe nsblockframe removeframe nsframemanager removeframe nscachedstyledata destroy i m afraid it window size dependant so the testcase contains a window resizeto function your browser should allow the resize ,3
this is with thunderbird on windows xp connecting over imap send myself a message with body a then forward it to myself making the body of the new message b the final email i get has b as the body for both the new message and the attached forwarded message though in the attachment table of contents it says it has attached a this is only happening with the sending forwarded emails as attachments option on inline works fine i ve tried toggleing that pref back and forth to no avail ,3
